ethnicity,pass__
LL,1.6440460947503202
PP,1.557915057915058
XX,1.5030030159043846
II,1.45607476635514
HH,1.4488338886244645
SS,1.4214808971035726
MM,1.4077922077922078
WW,1.4037122969837588
YY,1.381404174573055
GG,1.3800738007380073
NN,1.3577586206896552
JJ,1.3285638579756227
AR,1.323076923076923
RR,1.289855072463768
EE,1.2625418060200668
KK,1.2543859649122806
FF,1.2274575018477458
OO,1.21875
BB,1.178125
AS,1.172598903022523
ZZ,1.1725490196078432
DD,1.1294498381877023
CC,1.1225490196078431
VV,1.1009719222462202
UU,1.1
TT,1.0755813953488371
